ddc_class	classname
448	Gebrauch des Standard-Französisch
449	Okzitanisch, Katalanisch
450	Italienisch, Rumänisch, Rätoromanisch
451	Schriftsysteme und Phonologie des Italienischen
452	Etymologie des Italienischen
453	Italienische Wörterbücher
454	[Unbesetzt]
455	Italienische Grammatik
456	[Unbesetzt]
457	Varianten des Italienischen
458	Gebrauch des Standard-Italienisch
459	Rumänisch, Rätoromanisch
460	Spanisch, Portugiesisch
461	Schriftsysteme und Phonologie des Spanischen
462	Etymologie des Spanischen
463	Spanische Wörterbücher
464	[Unbesetzt]
465	Spanische Grammatik
466	[Unbesetzt]
467	Varianten des Spanischen
468	Gebrauch des Standard-Spanisch
469	Portugiesisch
470	Italische Sprachen; Latein
471	Schriftsysteme und Phonologie des klassischen Latein
472	Etymologie des klassischen Latein
473	Wörterbücher des klassischen Latein
474	[Unbesetzt]
475	Grammatik des klassischen Latein
476	[Unbesetzt]
477	Altlatein, Mittellatein, Neulatein, Kirchenlatein, Vulgärlatein
478	Gebrauch des klassischen Latein
479	Andere italische Sprachen
480	Hellenische Sprachen; klassisches Griechisch
481	Schriftsysteme und Phonologie des klassischen Griechisch
482	Etymologie des klassischen Griechisch
483	Wörterbücher des klassischen Griechisch
484	[Unbesetzt]
485	Grammatik des klassischen Griechisch
486	[Unbesetzt]
487	Vorklassisches Griechisch, Mittelgriechisch
488	Gebrauch des klassischen Griechisch
489	Andere hellenische Sprachen, Neugriechisch
490	Andere Sprachen
491	Ostindoeuropäische und keltische Sprachen
492	Afroasiatische Sprachen; semitische Sprachen
493	Nichtsemitische afroasiatische Sprachen
494	Altaische, uralische, paläosibirische, drawidische Sprachen
495	Ost- und südostasiatische Sprachen
496	Afrikanische Sprachen
497	Nordamerikanische Indianersprachen
498	Südamerikanische Indianersprachen
499	Austronesische und andere Sprachen
500	Naturwissenschaften und Mathematik
501	Philosophie, Theorie
502	Verschiedenes
503	Wörterbücher, Enzyklopädien
504	[Unbesetzt]
505	Fortlaufende Sammelwerke
506	Organisationen, Management
507	Ausbildung, Forschung, verwandte Themen
508	Naturgeschichte
509	Histor., geogr., personenbezogene Behandlung
510	Mathematik
511	Allgemeine mathematische Prinzipien
512	Algebra
513	Arithmetik
514	Topologie
515	Analysis
516	Geometrie
517	[Unbesetzt]
518	Numerische Analysis
519	Wahrscheinlichkeiten, angewandte Mathematik
520	Astronomie und zugeordnete Wissenschaften
521	Himmelsmechanik
522	Techniken, Ausstattung, Materialien
523	Einzelne Himmelskörper und Himmelsphänomene
524	[Unbesetzt]
525	Erde (Astronomische Geografie)
526	Mathematische Geografie
527	Astronavigation
528	Ephemeriden
529	Chronologie
530	Physik
531	Klassische Mechanik; Festkörpermechanik
532	Mechanik der Fluide; Mechanik der Flüssigkeiten
533	Gasmechanik
534	Schall und verwandte Schwingungen
535	Licht, Infrarot- und Ultraviolettphänomene
536	Wärme
537	Elektrizität, Elektronik
538	Magnetismus
539	Moderne Physik
540	Chemie und zugeordnete Wissenschaften
541	Physikalische Chemie
542	Techniken, Ausstattung, Materialien
543	Analytische Chemie
544	[Unbesetzt]
545	[Unbesetzt]
546	Anorganische Chemie
547	Organische Chemie
548	Kristallografie
549	Mineralogie
550	Geowissenschaften
551	Geologie, Hydrologie, Meteorologie
552	Petrologie
553	Lagerstättenkunde
554	Geowissenschaften Europas
555	Geowissenschaften Asiens
556	Geowissenschaften Afrikas
557	Geowissenschaften Nordamerikas
558	Geowissenschaften Südamerikas
559	Geowissenschaften anderer Gebiete
560	Paläontologie; Paläozoologie
561	Paläobotanik; fossile Mikroorganismen
562	Fossile Evertebrata (Wirbellose)
563	Fossile Wirbellose des Meeres und der Meeresküste
564	Fossile Mollusca (Weichtiere), Tentaculata (Kranzfühler)
565	Fossile Arthropoden (Gliederfüßer)
566	Fossile Chordata (Chordatiere)
567	Fossile wechselwarme Wirbeltiere; fossile Pisces (Fische)
568	Fossile Aves (Vögel)
569	Fossile Mammalia (Säugetiere)
570	Biowissenschaften; Biologie
571	Physiologie und verwandte Themen
572	Biochemie
573	Einzelne physiologische Systeme bei Tieren
574	[Unbesetzt]
575	Einzelne Teile von und physiologische Systeme bei Pflanzen
576	Genetik und Evolution
577	Ökologie
578	Naturgeschichte von Organismen
579	Mikroorganismen, Pilze, Algen
580	Pflanzen (Botanik)
581	Einzelne Themen in der Naturgeschichte
582	Pflanzen mit spezifischen Merkmalen und Blüten
583	Magnoliopsida (Zweikeimblättrige)
584	Liliopsida (Einkeimblättrige)
585	Gymnospermae (Nacktsamer); Coniferae (Nadelgehölze)
586	Cryptogamia (Blütenlose Pflanzen)
587	Pteridophyta (Farnpflanzen)
588	Bryophyta (Moose)
589	[Unbesetzt]
590	Tiere (Zoologie)
591	Einzelne Themen in der Naturgeschichte
592	Evertebrata (Wirbellose)
593	Wirbellose des Meeres und der Meeresküste
594	Mollusca (Weichtiere), Tentaculata (Kranzfühler)
595	Arthropoden (Gliederfüßer)
596	Chordata (Chordatiere)
597	Wechselwarme Wirbeltiere; Pisces (Fische)
598	Aves (Vögel)
599	Mammalia (Säugetiere)
600	Technik, Technologie
601	Philosophie, Theorie
602	Verschiedenes
603	Wörterbücher, Enzyklopädien
604	Spezielle Themen
605	Fortlaufende Sammelwerke
606	Organisationen
607	Ausbildung, Forschung, verwandte Themen
608	Erfindungen, Patente
609	Histor., geogr., personenbezogene Behandlung
610	Medizin und Gesundheit
611	Menschliche Anatomie, Zytologie, Histologie
612	Humanphysiologie
613	Persönliche Gesundheit und Sicherheit
614	Inzidenz und Prävention von Krankheiten
615	Pharmakologie, Therapeutik
616	Krankheiten
617	Chirurgie und verwandte medizinische Fachrichtungen
618	Gynäkologie, Geburtsmedizin, Pädiatrie, Geriatrie
619	[Unbesetzt]
620	Ingenieurwissenschaften und zugeordnete Tätigkeitenn
621	Angewandte Physik
622	Bergbau und verwandte Tätigkeiten
623	Militär- und Schiffstechnik
624	Ingenieurbau
625	Eisenbahn- und Straßenbau
626	[Unbesetzt]
627	Wasserbau
628	Sanitär- und Kommunaltechnik; Umwelttechnik
629	Andere Fachrichtungen der Ingenieurwissenschaften
630	Landwirtschaft und verwandte Bereiche
631	Techniken, Ausstattung, Materialien
632	Schäden, Krankheiten, Schädlinge an Pflanzen
633	Feld- und Plantagenfrüchte
634	Obstanlagen, Früchte, Forstwirtschaft
635	Gartenpflanzen (Gartenbau)
636	Viehwirtschaft
637	Milchverarbeitung und verwandte Produkte
638	Insektenzucht
639	Jagd, Fischfang, Naturschutz
640	Hauswirtschaft und Familie
641	Essen und Trinken
642	Mahlzeiten, Tischkultur
643	Wohnen, Haushaltsausstattung
644	Gebäudeversorgung für Haushalte
645	Einrichtungsgegenstände
646	Nähen, Kleidung, persönliches Leben, Familienleben
647	Großhaushaltsführung
648	Haushaltsführung
649	Kindererziehung, häusliche Betreuung
650	Management und unterstützende Tätigkeiten
651	Büroarbeit
652	Techniken der schriftlichen Kommunikation
653	Stenografie
654	[Unbesetzt]
655	[Unbesetzt]
656	[Unbesetzt]
657	Rechnungslegung
658	Allgemeines Management
659	Werbung, Öffentlichkeitsarbeit
660	Chemische Verfahrenstechnik
661	Industriechemikalien
662	Explosivstoffe, Brennstoffe und verwandte Produkte
663	Getränketechnologie
664	Lebensmitteltechnologie
665	Industrielle Öle, Fette, Wachse, technische Gase
666	Keramiktechnologie und zugeordnete Technologien
667	Reinigungs-, Färbe-, Beschichtungstechniken
668	Technik anderer organischer Produkte
669	Metallurgie
670	Industrielle Fertigung
671	Metallverarbeitung und Rohprodukte aus Metall
672	Eisen, Stahl, andere Eisenlegierungen
673	Nichteisenmetalle
674	Holzverarbeitung, Holzprodukte, Kork
675	Leder- und Pelzverarbeitung
676	Zellstoff und Papierherstellung
677	Textilien
678	Elastomere, Elastomerprodukte
679	Andere Produkte aus einzelnen Werkstoffen
680	Industrielle Fertigung für einzelne Verwendungszwecke
681	Präzisionsinstrumente und andere Geräte
682	Schmiedehandwerk
683	Eisenwaren, Haushaltsgeräte
684	Wohnungseinrichtung, Heimwerkstätten
685	Leder- und Pelzwaren und verwandte Produkte
686	Drucken und verwandte Tätigkeiten
687	Kleidung, Accessoires
688	Andere Endprodukte, Verpackungstechnik
689	[Unbesetzt]
690	Hausbau, Bauhandwerk
691	Baustoffe
692	Bauhilfstechniken
693	Einzelne Baustoffarten und Zwecke
694	Holzbau, Zimmerhandwerk
695	Dachdeckung
696	Versorgungseinrichtungen
697	Heizungs-, Lüftungs-, Klimatechnik
698	Ausbau
699	[Unbesetzt]
700	Künste; Bildende und angewandte Kunst
701	Kunstphilosophie, Kunsttheorie der bildenden und angewandten Kunst
702	Verschiedenes zur bildenden und angewandten Kunst
703	Wörterbücher, Enzyklopädien zur bildenden und angewandten Kunst
704	Spezielle Themen zur bildenden und angewandten Kunst
705	Fortlaufende Sammelwerke zur bildenden und angewandten Kunst
706	Organisationen, Management der bildenden und angewandten Kunst
707	Ausbildung, Forschung, verwandte Themen zur bildenden und angewandten Kunst
708	Galerien, Museen, Privatsammlungen zur bildenden und angewandten Kunst
709	Histor., geogr., personenbezogene Behandlung der bildenden und angewandten Kunst
710	Städtebau, Raumplanung, Landschaftsgestaltung
711	Raumplanung
712	Landschaftsgestaltung
713	Landschaftsgestaltung von Verkehrswegen
714	Wasser als Gestaltungselement
715	Gehölze als Gestaltungselemente
716	Krautige Pflanzen als Gestaltungselemente
717	Andere Gestaltungselemente
718	Landschaftsgestaltung von Friedhöfen
719	Naturlandschaften
